id,area_px,centroid_y,centroid_x,equivalent_diameter_px,eccentricity,solidity
1,9953,958.5382296794936,1678.8965136139857,112.57243529723017,0.7666879080480021,0.97827796343621
2,9381,1149.0545784031553,1518.107771026543,109.2897990169282,0.7343879736404821,0.8948774205857102
3,11247,1400.4100649061972,1712.7824308704544,119.6667253652258,0.6988746845823093,0.8407714734245346
4,5335,1451.6596063730085,1555.3186504217433,82.4180378992493,0.503910638824369,0.9865014792899408
5,6631,1499.441713165435,1750.9956266023223,91.88499018413653,0.3464804490535573,0.9748603351955307
6,4012,1571.3165503489531,1760.5762711864406,71.47193192769784,0.6824669936412623,0.9809290953545232
7,70141,2054.426569338903,2222.056657304572,298.84158831606595,0.2527653014192144,0.995797663159987
8,41111,2040.4281579139404,603.7100289460242,228.7884414117271,0.4017160091789298,0.9624713208784005
9,5027,2028.078774617068,1636.167296598369,80.00359486537879,0.523466325046487,0.9845280062671367
10,43732,2482.8867877069424,967.58785328821,235.96887881743672,0.3853838175552526,0.9941350306887929
11,38592,2764.2450248756218,1323.081182628524,221.66835703460112,0.12242738577070197,0.994280414283506
12,35176,3322.606663634296,1262.9427166249716,211.63051345589105,0.41443712316696685,0.9840816897468178
13,31790,3539.587606165461,1450.8217993079584,201.18718927190872,0.6434704450969192,0.9340384897899221
